semi-positive	root
ambiguous	root
semi-negative	root
admiration	semi-positive
amusement	semi-positive
caring	semi-positive
gratitude	semi-positive
desire	semi-positive
approval	semi-positive
relief	semi-positive
positive	semi-positive
admiration	root
amusement	root
caring	root
gratitude	root
desire	root
approval	root
relief	root
positive	root
excitement	positive
joy	positive
love	positive
optimism	positive
pride	positive
excitement	semi-positive
joy	semi-positive
love	semi-positive
optimism	semi-positive
pride	semi-positive
excitement	root
joy	root
love	root
optimism	root
pride	root
surprise	ambiguous
surprise	root
curiosity	ambiguous
curiosity	root
realization	ambiguous
realization	root
confusion	ambiguous
confusion	root
disappointment	semi-negative
disapproval	semi-negative
nervousment	semi-negative
embarrassment	semi-negative
negative	semi-negative
nervousness	semi-negative
disappointment	root
disapproval	root
nervousment	root
embarrassment	root
negative	root
nervousness	root
disgust	negative
fear	negative
grief	negative
remorse	negative
sadness	negative
anger	negative
annoyance	negative
disgust	semi-negative
fear	semi-negative
grief	semi-negative
remorse	semi-negative
sadness	semi-negative
anger	semi-negative
annoyance	semi-negative
disgust	root
fear	root
grief	root
remorse	root
sadness	root
anger	root
annoyance	root